Location,Source,WMO,Lat,Lon,Altitude
Chojnice,IMGW,122350,53.7,17.57,172
Czestochowa,IMGW,125500,50.75,19,295
Elblag,IMGW,121600,54.15,19.43,0
Gorzow Wlkp,IMGW,123000,52.73,15.23,0
Hel,IMGW,121350,54.62,18.78,0
Jelenia Gora,IMGW,125000,50.9,15.73,344
Kalisz,IMGW,124350,51.75,18.08,140
Kasprowy Wierch,IMGW,126500,49.28,19.97,1
Katowice,IMGW,125600,50.23,19.03,304
Ketrzyn,IMGW,121850,54.08,21.38,110
Kielce,IMGW,125700,50.83,20.67,261
Klodzko,IMGW,125200,50.43,16.65,375
Kolo,IMGW,123450,52.18,18.62,117
Kolobrzeg,IMGW,121000,54.18,15.58,0
KOLOBRZEG,IWEC Data,121000,54.18,15.58,5
Koszalin,IMGW,121050,54.2,16.18,0
Krakow,IMGW,125660,50.08,19.92,237
KRAKOW,IWEC Data,125660,50.08,19.8,237
Leba,IMGW,121200,54.75,17.55,0
Lebork,IMGW,121250,54.55,17.75,0
Legnica,IMGW,124150,51.2,16.2,124
Lesko,IMGW,126900,49.45,22.32,422
Leszno,IMGW,124180,51.83,16.53,0
Lodz,IMGW,124650,51.75,19.47,190
Lublin Radawiec,IMGW,124950,51.25,22.5,240
Mikolajki,IMGW,122800,53.8,21.58,132
Mlawa,IMGW,122700,53.12,20.38,149
Nowy Sacz,IMGW,126600,49.58,20.5,295
Olsztyn,IMGW,122720,53.78,20.48,137
Opole,IMGW,125300,50.67,17.95,163
Ostroleka,IMGW,122850,51.17,19.13,0
Pila,IMGW,122300,53.15,16.75,0
Plock,IMGW,123600,52.55,19.7,109
Poznan,IMGW,123300,52.42,16.97,0
POZNAN,IWEC Data,123300,52.42,16.83,92
Przemysl,IMGW,126950,49.78,22.78,280
Raciborz,IMGW,125400,50.08,18.2,206
Resko,IMGW,122100,53.72,15.12,0
Rzeszow Jasionka,IMGW,125800,50.1,22.02,201
Sandomierz,IMGW,125850,50.68,21.75,218
Siedlce,IMGW,123850,52.17,22.3,155
Sniezka,IMGW,125100,50.74,15.73,1
Sulejow,IMGW,124690,51.37,19.88,189
Suwalki,IMGW,121950,54.1,22.93,186
Swinoujscie,IMGW,122000,53.92,14.25,0
Szczecin,IMGW,122050,53.4,14.67,0
Szczecinek,IMGW,122150,53.72,16.7,144
Tarnow,IMGW,125750,50.02,20.98,209
Terespol,IMGW,123990,52.08,23.57,137
Torun,IMGW,122500,51.1,23.08,0
Ustka,IMGW,121150,54.58,16.85,0
WARSAW,IWEC Data,123750,52.17,20.97,107
Warszawa Okecie,IMGW,123750,52.25,21,106
Wielun,IMGW,124550,51.22,18.55,201
Wlodawa,IMGW,124970,51.55,23.55,179
Wroclaw,IMGW,124240,51.1,17.03,124
Zakopane,IMGW,126250,49.3,19.97,857
Zamosc,IMGW,125950,50.75,23.25,213
Zielona Gora,IMGW,124000,51.93,15.5,192
Roosevelt Roads,TMY3,785350,18.25,-65.63,12
