type,year,electric_intensity,electric_intensity_standby,electric_intensity_off,
rear-projection,2006,120.9,2.5,0.1,
rear-projection,2007,140.9,2.1,0.1,
rear-projection,2008,158.4,1.7,0.1,
rear-projection,2009,173.7,1.5,0.1,
rear-projection,2010,187.2,1.3,0.1,
rear-projection,2011,191.3,1.2,0.1,
rear-projection,2012,196.9,1.1,0.1,
rear-projection,2013,203.4,1,0.1,
rear-projection,2014,210.4,1,0.1,
rear-projection,2015,217.9,0.9,0.1,
rear-projection,2016,225.5,0.9,0,
rear-projection,2017,229.4,0.8,0,
rear-projection,2018,231,0.7,0,
rear-projection,2019,230.9,0.7,0,
rear-projection,2020,229.6,0.6,0,
projector,1966,55,0,0,
projector,1967,55,0,0,
projector,1968,55,0,0,
projector,1969,55,0,0,
projector,1970,55,0,0,
projector,1971,57.5,0.3,0,
projector,1972,57.5,0.3,0,
projector,1973,57.5,0.3,0,
projector,1974,57.5,0.3,0,
projector,1975,57.5,0.3,0,
projector,1976,60,0.5,0,
projector,1977,60,0.5,0,
projector,1978,60,0.5,0,
projector,1979,60,0.5,0,
projector,1980,60,0.5,0,
projector,1981,62.5,0.8,0,
projector,1982,62.5,0.8,0,
projector,1983,62.5,0.8,0,
projector,1984,62.5,0.8,0,
projector,1985,62.5,0.8,0,
projector,1986,65,1,0,
projector,1987,65,1,0,
projector,1988,65,1,0,
projector,1989,65,1,0,
projector,1990,65,1,0,
projector,1991,65.7,12.7,0,
projector,1992,66.3,15,0,
projector,1993,67,14,0,
projector,1994,67.6,13,0,
projector,1995,68.7,12,0,
projector,1996,69.7,11,0.1,
projector,1997,70.7,10,0.1,
projector,1998,72.1,8.9,0.1,
projector,1999,73.4,7.9,0.1,
projector,2000,75.4,6.9,0.1,
projector,2001,77.6,6,0.1,
projector,2002,79.7,5.2,0.1,
projector,2003,81.9,4.2,0.1,
projector,2004,87.2,3.5,0.1,
projector,2005,100.2,3.1,0.1,
projector,2006,120.9,2.5,0.1,
projector,2007,140.9,2.1,0.1,
projector,2008,158.4,1.7,0.1,
projector,2009,173.7,1.5,0.1,
projector,2010,187.2,1.3,0.1,
projector,2011,191.3,1.2,0.1,
projector,2012,196.9,1.1,0.1,
projector,2013,203.4,1,0.1,
projector,2014,210.4,1,0.1,
projector,2015,217.9,0.9,0.1,
projector,2016,225.5,0.9,0,
projector,2017,229.4,0.8,0,
projector,2018,231,0.7,0,
projector,2019,230.9,0.7,0,
projector,2020,229.6,0.6,0,
